age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Y
0.49096867,-0.2126521,-1.4550575,1.1326599,-0.3868467,-0.9839195,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,0.33707833,0.264447,1
1.0698574,-1.2549384,0.040160224,2.3080552,1.6084417,1.5005335,1.6193957,-4.4098415,0,-0.06785133,-0.25682336,2.5472507,-3.8000705,0
0.5634604,1.8719205,-0.95407283,-2.785324,0.94334555,0.5067523,-0.8835631,-3.2111607,1,-0.16378938,-0.290912,1.9833215,-0.060714412,1
1.9326403,-1.2549384,-0.72011423,-0.43453375,2.2735379,-0.73547417,-0.25782338,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,0
-0.24372236,3.9564931,-0.29871023,-1.2181306,0.27824944,0.75519764,-0.8835631,-2.0124798,1,-0.12714082,-0.2334711,0.77609414,-4.7755547,1
1.3256207,1.8719205,1.4976147,1.5244583,-1.717039,1.2520882,1.6193957,0.38488203,0,-0.14619109,5.49007,1.584026,0.264447,0
-0.9507029,-0.2126521,-0.5354706,-0.042735342,0.94334555,-1.48081,0.99365604,0.38488203,0,-0.14619109,-0.22122559,-0.07857088,0.264447,0
1.4773755,-0.2126521,-0.43550166,-0.43453375,-0.3868467,0.258307,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,0
-0.9507029,-0.2126521,-0.14343683,-0.042735342,-0.3868467,-0.9839195,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,0.33707833,0.264447,1
-1.2542127,-0.2126521,2.8892047,-0.43453375,0.94334555,0.258307,0.99365604,-2.0124798,1,-0.14619109,-0.22122559,-0.07857088,0.264447,0
0.33921376,-0.2126521,0.36104655,1.5244583,-0.3868467,-0.73547417,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,0.17081866,0.264447,1
0.7944785,-0.2126521,-0.54336965,-0.042735342,-0.3868467,0.00986172,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,0.75272757,0.264447,1
0.33921376,1.8719205,0.49402797,1.5244583,-0.3868467,1.2520882,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,0.33707833,0.264447,0
-1.1024579,-0.2126521,-1.0070176,-0.042735342,1.6084417,0.258307,-0.25782338,0.38488203,1,-0.14619109,4.3595314,-0.07857088,0.264447,0
0.18745886,2.9142067,-0.3420725,-0.43453375,0.94334555,-0.9839195,-0.25782338,0.38488203,1,-0.14619109,-0.22122559,0.75272757,0.264447,0
1.6291305,-1.2549384,0.4138304,-0.43453375,-0.3868467,0.258307,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,0
1.1738657,-0.2126521,-0.92393035,-0.43453375,-0.3868467,-0.9839195,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,0.17081866,0.264447,0
0.29849115,-0.2126521,3.1091802,-1.609929,2.2735379,0.75519764,-0.8835631,0.38488203,0,-0.17728603,3.7417214,-0.047930032,0.10186629,1
-0.26780584,-0.2126521,-0.79792595,1.1326599,-0.3868467,1.5005335,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,1
0.71860105,-0.2126521,0.1937029,-0.43453375,-1.717039,-0.23858358,-0.25782338,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,0
-0.1919284,-0.2126521,-0.8402918,-0.042735342,0.94334555,-1.48081,-0.25782338,0.38488203,1,0.18792048,-0.22122559,-0.07857088,0.264447,0
0.2633363,1.8719205,-1.4672625,-0.43453375,-0.3868467,1.2520882,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,1.584026,0.264447,0
-0.41956076,2.9142067,1.602707,1.5244583,-0.3868467,1.0036429,-0.8835631,-2.0124798,1,-0.14619109,-0.22122559,-0.07857088,0.264447,0
0.71860105,-2.2972248,-1.104401,-0.43453375,-0.3868467,-0.23858358,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,0
0.41509122,0.8296342,0.38386917,-0.042735342,-0.3868467,-0.73547417,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,0.75272757,0.264447,1
1.6291305,-2.2972248,-1.3227891,-2.0017273,-1.717039,0.258307,-0.25782338,-2.0124798,0,-0.14619109,-0.22122559,-0.07857088,0.264447,0
0.7944785,-0.2126521,-1.2766781,-0.43453375,-0.3868467,-0.9839195,-0.8835631,0.38488203,1,0.27473795,-0.22122559,0.33707833,0.264447,1
-0.72307056,-0.2126521,-0.47897965,-0.43453375,-1.717039,-0.9839195,-0.25782338,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,0
-0.57131565,-0.2126521,0.2305746,-0.43453375,1.6084417,1.5005335,-0.25782338,0.38488203,0,-0.14619109,-0.22122559,-0.07857088,0.264447,0
-1.2542127,-0.2126521,-1.2031533,1.1326599,0.94334555,0.75519764,0.99365604,0.38488203,0,-0.14619109,-0.22122559,-0.07857088,0.264447,0
0.18745886,-0.2126521,-0.87875086,-0.43453375,0.94334555,-0.73547417,-0.25782338,-3.2111607,1,-0.14619109,-0.22122559,1.584026,0.264447,0
1.0221108,-0.2126521,1.1729271,-0.43453375,2.2735379,1.7489789,-0.25782338,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,0
0.86618733,-2.2972248,0.02310411,2.3080552,1.6084417,-0.48702887,-0.25782338,-2.0124798,0,-0.22114944,-0.28412583,1.5754795,-2.0116827,1
-1.0265803,-0.2126521,2.01667,-0.042735342,0.94334555,0.258307,-0.25782338,0.38488203,0,0.4528494,-0.22122559,-1.3255186,0.264447,0
0.56684613,-0.2126521,0.09727949,-0.042735342,-0.3868467,-0.9839195,0.36791635,-3.2111607,1,-0.14619109,-0.22122559,-0.07857088,-2.9871671,0
0.7944785,-0.2126521,-1.0181199,-0.042735342,-0.3868467,-0.9839195,-0.8835631,-3.2111607,1,-0.14619109,-0.22122559,-0.07857088,0.264447,1
1.3256207,-0.2126521,-0.112268426,0.34906307,-0.3868467,1.5005335,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,1
-0.8748255,-2.2972248,0.06942849,0.7408615,-0.3868467,-1.48081,-0.8835631,0.38488203,1,0.4050998,-0.22122559,-0.07857088,-4.7755547,0
-1.0227628,-1.2549384,-0.4600727,0.7408615,1.6084417,0.00986172,-0.8835631,-4.4098415,0,-0.21701807,-0.24693304,0.7695365,-1.1987793,1
1.4773755,0.8296342,-0.3283656,-0.43453375,-0.3868467,-0.73547417,2.2451355,0.38488203,0,-0.14619109,-0.22122559,-1.7411678,0.264447,1
-0.3436833,-0.2126521,-0.719734,0.7408615,-0.3868467,0.258307,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,-0.4942201,0.264447,0
0.9462334,-0.2126521,-0.10793393,0.7408615,-0.3868467,-0.9839195,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,0.33707833,0.264447,1
0.64272356,-0.2126521,-0.03499852,-1.2181306,-0.3868467,1.7489789,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,2.4153244,0.264447,0
-0.8748255,-1.2549384,0.011863408,0.34906307,0.94334555,-0.73547417,0.99365604,0.38488203,0,-0.14619109,-0.22122559,-0.07857088,0.264447,0
0.11158141,-0.2126521,-0.4211294,-0.43453375,-0.3868467,-0.73547417,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,0.75272757,0.264447,1
-1.249198,3.9564931,-0.30059552,-0.82633215,2.2735379,-0.9839195,1.6193957,-3.2111607,1,0.09157528,-0.427329,-0.3380261,-5.588458,1
1.6291305,0.8296342,-0.8785132,-0.43453375,-0.3868467,-1.48081,2.2451355,0.38488203,0,-0.14619109,-0.22122559,-2.738726,0.264447,1
0.2633363,-0.2126521,-0.02572119,1.1326599,-0.3868467,0.258307,-0.8835631,-3.2111607,1,-0.14619109,-0.22122559,2.5815842,-1.1987793,1
0.49096867,2.9142067,0.90949273,-0.042735342,-1.717039,0.75519764,1.6193957,-2.0124798,0,-0.14619109,-0.22122559,-0.07857088,0.264447,0
0.8703559,-0.2126521,0.12167051,1.5244583,-0.3868467,0.00986172,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,-0.9098693,0.264447,0
0.41509122,-2.2972248,0.64934725,-0.042735342,-0.3868467,0.75519764,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,1
0.18745886,-0.2126521,-0.322957,-0.43453375,-0.3868467,-0.23858358,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,0
-1.1783353,-0.2126521,0.07716593,1.1326599,0.94334555,0.75519764,0.99365604,0.38488203,1,-0.14619109,-0.22122559,1.584026,0.264447,0
-1.1668658,1.8719205,-0.82659996,-3.1771226,2.2735379,-0.9839195,0.36791635,-0.81379884,1,-0.38472074,-0.08114056,-1.451832,0.5896084,1
2.0085177,-0.2126521,-1.0352203,-0.43453375,-1.717039,-0.73547417,0.36791635,0.38488203,0,0.10449433,-0.22122559,0.75272757,0.264447,0
-0.8748255,-0.2126521,-0.59905267,-0.43453375,0.94334555,-0.73547417,-0.25782338,0.38488203,0,-0.14619109,-0.22122559,-0.07857088,0.264447,0
0.18745886,-0.2126521,-0.44203192,1.1326599,2.2735379,1.2520882,1.6193957,-2.0124798,1,-0.14619109,-0.22122559,0.75272757,0.264447,0
-0.79894805,-0.2126521,1.7833964,1.1326599,0.94334555,1.2520882,0.99365604,-2.0124798,1,0.7828914,-0.22122559,0.75272757,0.264447,0
-1.3300902,2.9142067,0.6597557,-0.042735342,0.94334555,0.75519764,-0.25782338,0.38488203,0,-0.14619109,-0.22122559,-1.7411678,0.264447,0
0.2633363,-0.2126521,0.32008752,1.1326599,-1.717039,0.75519764,1.6193957,0.38488203,1,0.86170536,-0.22122559,-0.07857088,0.264447,1
0.2633363,-0.2126521,-1.1412537,-0.042735342,-0.3868467,-0.9839195,-0.8835631,-2.0124798,1,-0.14619109,-0.22122559,-0.07857088,0.264447,1
0.8703559,-0.2126521,-0.008516303,1.5244583,-1.717039,1.2520882,-0.25782338,0.38488203,0,-0.14619109,3.6611855,0.33707833,0.264447,0
0.9462334,-0.2126521,-0.8792167,-0.042735342,-0.3868467,1.5005335,-0.8835631,0.38488203,1,-0.14619109,-0.22122559,-0.07857088,0.264447,1
